file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\templatemethod\lab\ConcretePrintAlphabet.java,templatemethod.lab.ConcretePrintAlphabet,class,2,4,2,2,10,2,0,1,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,3,6,0,0,3,0,15,12,6,9,2,0,0,0,14,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\memento\Originator.java,memento.Originator,class,1,1,0,1,3,1,0,1,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,1,0,0,0,0,11,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\adapter\Target.java,adapter.Target,interface,0,2,2,0,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\chain\ChainBuilder.java,chain.ChainBuilder,class,5,7,2,5,3,1,0,1,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,17,1,0,0,0,0,0,0,6,0,4,0,0,0,0,14,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\adapter\lab\Client.java,adapter.lab.Client,class,3,3,0,3,1,1,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,8,0,2,0,2,0,0,0,0,10,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\abstractfactory\AbstractButtonWidget.java,abstractfactory.AbstractButtonWidget,class,0,6,6,0,0,1,2,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\templatemethod\AOrderProcessor.java,templatemethod.AOrderProcessor,class,2,4,2,2,5,1,1,4,10,0.0,0.0,0.0,5,0,4,1,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,3,0,6,0,4,0,0,0,0,25,1025,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\flyweight\lab\ConcreteHeavyLocation.java,flyweight.lab.ConcreteHeavyLocation,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\abstractfactory\lab\AdultsPackFactory.java,abstractfactory.lab.AdultsPackFactory,class,7,8,1,7,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Users\costa\Desktop\ing-soft2\ing-soft2\repository\ASD\src\memento\lab\CareTaker.java,memento.lab.CareTaker,class,1,2,1,1,2,1,0,2,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0
